sku_id,a1,a2,a3,cate,brand,browse_num,addcart_num,delcart_num,buy_num,favor_num,click_num,cart2buy,browse2buy,click2buy,favor2buy,comment_num,has_bad_comment,bad_comment_rate
2,,,,,,31.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,,,
6,1.0,2.0,1.0,8.0,545.0,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,1.0,1.0,1.0
10,3.0,1.0,1.0,8.0,489.0,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,3.0,1.0,0.087
12,,,,,,,,,,,,,,,,4.0,1.0,0.0263
14,3.0,1.0,1.0,8.0,214.0,,,,,,,,,,,3.0,1.0,0.08
15,,,,,,,,,,,,,,,,2.0,1.0,0.25
18,3.0,1.0,1.0,8.0,306.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0144
24,,,,,,,,,,,,,,,,2.0,1.0,0.25
25,2.0,1.0,2.0,8.0,124.0,,,,,,,,,,,,,
26,3.0,2.0,1.0,8.0,489.0,,,,,,,,,,,,,
27,3.0,2.0,2.0,8.0,489.0,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,2.0,0.0,0.0
36,,,,,,58.0,4.0,0.0,0.0,1.0,163.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
37,1.0,1.0,2.0,8.0,885.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,,,
38,,,,,,,,,,,,,,,,4.0,1.0,0.2444
40,,,,,,42.0,2.0,2.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,3.0,1.0,0.08
41,,,,,,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0398
43,,,,,,177.0,1.0,1.0,0.0,2.0,485.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
44,,,,,,,,,,,,,,,,1.0,0.0,0.0
45,,,,,,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
46,-1.0,1.0,1.0,8.0,318.0,,,,,,,,,,,,,
47,,,,,,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,
49,,,,,,,,,,,,,,,,4.0,1.0,0.0569
50,,,,,,577.0,20.0,13.0,1.0,2.0,1360.0,0.05,0.00173310225303,0.000735294117647,0.5,4.0,1.0,0.0045
51,,,,,,,,,,,,,,,,4.0,1.0,0.0299
52,,,,,,563.0,19.0,13.0,1.0,4.0,1444.0,0.0526315789474,0.00177619893428,0.000692520775623,0.25,4.0,1.0,0.0831
53,2.0,1.0,2.0,8.0,635.0,,,,,,,,,,,,,
55,3.0,1.0,1.0,8.0,489.0,,,,,,,,,,,,,
58,,,,,,38.0,2.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,,,
60,3.0,2.0,1.0,8.0,214.0,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,1.0,0.0,0.0
64,,,,,,,,,,,,,,,,4.0,1.0,0.1094
66,,,,,,,,,,,,,,,,2.0,0.0,0.0
67,,,,,,32.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,,,
68,,,,,,120.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,,,
71,,,,,,13.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,4.0,1.0,0.032
74,3.0,2.0,2.0,8.0,489.0,,,,,,,,,,,,,
81,3.0,1.0,2.0,8.0,214.0,,,,,,,,,,,,,
82,3.0,1.0,1.0,8.0,489.0,,,,,,,,,,,,,
85,,,,,,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,,
87,,,,,,19.0,4.0,0.0,1.0,0.0,74.0,0.25,0.0526315789474,0.0135135135135,1.0,3.0,1.0,0.0909
90,1.0,-1.0,-1.0,8.0,885.0,,,,,,,,,,,,,
95,3.0,2.0,2.0,8.0,214.0,249.0,6.0,2.0,1.0,5.0,652.0,0.166666666667,0.00401606425703,0.00153374233129,0.2,2.0,0.0,0.0
101,,,,,,,,,,,,,,,,2.0,0.0,0.0
107,,,,,,,,,,,,,,,,1.0,0.0,0.0
109,,,,,,,,,,,,,,,,2.0,1.0,0.3333
114,,,,,,,,,,,,,,,,3.0,0.0,0.0
116,,,,,,,,,,,,,,,,4.0,1.0,0.0185
117,3.0,1.0,1.0,8.0,489.0,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,2.0,0.0,0.0
