sku_id,a1,a2,a3,cate,brand,browse_num,addcart_num,delcart_num,buy_num,favor_num,click_num,cart2buy,browse2buy,click2buy,favor2buy,comment_num,has_bad_comment,bad_comment_rate
2,,,,,,55.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,,,
6,1.0,2.0,1.0,8.0,545.0,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,1.0,1.0,1.0
10,3.0,1.0,1.0,8.0,489.0,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,3.0,1.0,0.087
12,,,,,,,,,,,,,,,,4.0,1.0,0.0263
14,3.0,1.0,1.0,8.0,214.0,,,,,,,,,,,3.0,1.0,0.08
15,,,,,,,,,,,,,,,,2.0,1.0,0.25
18,3.0,1.0,1.0,8.0,306.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0144
24,,,,,,,,,,,,,,,,2.0,1.0,0.25
25,2.0,1.0,2.0,8.0,124.0,,,,,,,,,,,,,
26,3.0,2.0,1.0,8.0,489.0,,,,,,,,,,,,,
27,3.0,2.0,2.0,8.0,489.0,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,2.0,0.0,0.0
36,,,,,,107.0,4.0,0.0,0.0,1.0,186.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
37,1.0,1.0,2.0,8.0,885.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,,,
38,,,,,,,,,,,,,,,,4.0,1.0,0.2444
40,,,,,,79.0,2.0,2.0,0.0,0.0,179.0,0.0,0.0,0.0,0.0,3.0,1.0,0.08
41,,,,,,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0398
43,,,,,,336.0,1.0,1.0,0.0,2.0,524.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
44,,,,,,,,,,,,,,,,1.0,0.0,0.0
45,,,,,,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
46,-1.0,1.0,1.0,8.0,318.0,,,,,,,,,,,,,
